sigma_R (um^-2) KD_eff (M) adsorbed_fraction
1.326e+02 9.967e-04 8.116e-06 7.946e-05 1.018e-04  2.608e-05 3.100e-04 3.920e-02 2.064e-07  4.065e-02 1.990e-07  1.187e-10 9.768e-01 1.992e-03 4.060e-06   
1.600e+02 4.910e-04 1.647e-05 2.194e-05 3.685e-04  1.079e-05 7.491e-04 3.557e-02 2.274e-07  3.716e-02 2.177e-07  4.240e-12 9.991e-01 9.769e-04 8.281e-06   
1.931e+02 1.939e-04 4.171e-05 4.402e-06 1.833e-03  1.307e-05 6.185e-04 3.164e-02 2.557e-07  3.336e-02 2.425e-07  7.627e-14 1.000e+00 4.135e-04 1.956e-05   
2.330e+02 5.880e-05 1.376e-04 5.999e-07 1.324e-02  4.181e-06 1.929e-03 2.746e-02 2.945e-07  2.928e-02 2.763e-07  6.001e-16 1.000e+00 1.465e-04 5.520e-05   
2.812e+02 1.300e-05 6.216e-04 5.116e-08 1.305e-01  1.038e-06 7.708e-03 2.316e-02 3.493e-07  2.501e-02 3.234e-07  1.744e-18 1.000e+00 4.193e-05 1.929e-04   
3.393e+02 1.967e-06 4.088e-03 2.468e-09 7.038e-01  1.891e-07 4.039e-02 1.885e-02 4.292e-07  2.069e-02 3.910e-07  1.528e-21 1.000e+00 9.269e-06 8.716e-04   
4.095e+02 1.879e-07 4.064e-02 5.959e-11 9.881e-01  2.361e-08 2.371e-01 1.470e-02 5.503e-07  1.645e-02 4.917e-07  3.165e-25 1.000e+00 1.501e-06 5.348e-03   
4.942e+02 1.025e-08 3.997e-01 6.207e-13 9.999e-01  1.857e-09 7.544e-01 1.089e-02 7.427e-07  1.248e-02 6.484e-07  1.157e-29 1.000e+00 1.672e-07 4.537e-02   
5.964e+02 2.831e-10 9.473e-01 2.331e-15 1.000e+00  3.895e-10 9.297e-01 7.585e-03 1.066e-06  8.936e-03 9.052e-07  5.269e-35 1.000e+00 1.185e-08 3.687e-01   
7.197e+02 3.418e-12 9.993e-01 2.545e-18 1.000e+00  1.085e-11 9.978e-01 4.902e-03 1.650e-06  5.974e-03 1.354e-06  1.973e-41 1.000e+00 4.878e-10 9.142e-01   
8.685e+02 1.516e-14 1.000e+00 6.240e-22 1.000e+00  1.338e-13 1.000e+00 2.894e-03 2.795e-06  3.676e-03 2.201e-06  3.714e-49 1.000e+00 1.043e-11 9.979e-01   
1.048e+03 2.009e-17 1.000e+00 2.526e-26 1.000e+00  6.048e-16 1.000e+00 1.533e-03 5.278e-06  2.045e-03 3.955e-06  1.968e-58 1.000e+00 1.016e-13 1.000e+00   
1.265e+03 6.213e-21 1.000e+00 1.171e-31 1.000e+00  7.896e-19 1.000e+00 7.117e-04 1.137e-05  1.009e-03 8.020e-06  1.495e-69 1.000e+00 3.838e-16 1.000e+00   
1.526e+03 3.355e-25 1.000e+00 4.022e-38 1.000e+00  1.762e-21 1.000e+00 2.820e-04 2.868e-05  4.298e-04 1.882e-05  7.555e-83 1.000e+00 4.660e-19 1.000e+00   
1.842e+03 2.243e-30 1.000e+00 6.117e-46 1.000e+00  1.049e-25 1.000e+00 9.232e-05 8.761e-05  1.536e-04 5.265e-05  1.103e-98 1.000e+00 1.451e-22 1.000e+00   
2.223e+03 1.238e-36 1.000e+00 2.239e-55 1.000e+00  2.551e-30 1.000e+00 2.400e-05 3.370e-04  4.441e-05 1.821e-04  2.108e-117 1.000e+00 8.877e-27 1.000e+00   
2.683e+03 3.495e-44 1.000e+00 9.623e-67 1.000e+00  0.000e+00 1.000e+00 4.722e-06 1.709e-03  9.943e-06 8.126e-04  4.057e-139 1.000e+00 7.817e-32 1.000e+00   
3.237e+03 2.891e-53 1.000e+00 2.097e-80 1.000e+00  0.000e+00 1.000e+00 6.645e-07 1.197e-02  1.636e-06 4.911e-03  2.842e-157 1.000e+00 6.925e-38 1.000e+00   
3.907e+03 3.674e-64 1.000e+00 8.773e-97 1.000e+00  0.000e+00 1.000e+00 6.238e-08 1.104e-01  1.857e-07 4.109e-02  6.084e-162 1.000e+00 4.150e-45 1.000e+00   
4.715e+03 3.455e-77 1.000e+00 2.355e-116 1.000e+00  0.000e+00 1.000e+00 3.595e-09 6.292e-01  1.349e-08 3.419e-01  1.927e-165 1.000e+00 1.129e-53 1.000e+00   
5.690e+03 1.093e-92 1.000e+00 1.248e-139 1.000e+00  0.000e+00 1.000e+00 1.150e-10 9.775e-01  5.724e-10 9.015e-01  1.863e-168 1.000e+00 1.097e-63 1.000e+00   
6.866e+03 5.544e-111 1.000e+00 4.343e-167 1.000e+00  0.000e+00 1.000e+00 1.810e-12 9.996e-01  1.273e-11 9.974e-01  3.425e-171 1.000e+00 3.668e-73 1.000e+00   
8.286e+03 3.377e-132 1.000e+00 6.663e-199 1.000e+00  0.000e+00 1.000e+00 1.210e-14 1.000e+00  1.302e-13 1.000e+00  9.578e-174 1.000e+00 3.060e-75 1.000e+00   
1.000e+04 4.721e-153 1.000e+00 3.777e-230 1.000e+00  0.000e+00 1.000e+00 2.880e-17 1.000e+00  5.244e-16 1.000e+00  3.592e-176 1.000e+00 9.751e-77 1.000e+00   
